
0,187
2,886
4,179
6,570
8,908
10,174
12,558
14,184
16,199
18,183
20,717
22,999
24,715
26,744
28,909
31,609
32,149
35,517
36,6
39,308
40,112
43,286
44,10
47,442
48,176
51,367
53,620
54,732
57,232
58,871
61,526
62,971
64,897
66,150
69,548
70,586
72,615
75,654
76,235
79,288
80,28
82,1
85,534
86,361
89,474
91,897
93,666
95,66
97,848
99,604
100,414
103,336
105,763
107,338
109,176
111,847
113,159
115,147
117,299
119,113
121,588
123,254
125,358
127,871
129,914
131,571
133,865
135,90
137,175
139,111
141,728
143,775
145,757
147,650
149,971
151,442
153,13
155,166
157,822
159,86
161,311
163,662
165,880
167,849
169,333
171,403
173,875
175,69
177,960
179,326
181,594
183,980
185,539
187,356
189,615
191,396
193,200
195,25
197,702
199,872
201,385
203,726
205,981
207,752
209,133
211,783
213,942
215,591
217,309
219,130
221,510
223,846
225,202
227,731
229,522
231,332
233,953
235,511
237,522
239,983
242,60
243,778
245,439
247,64
249,126
251,217
253,855
256,515
257,313
260,984
261,353
263,909
265,815
267,21
269,350
271,577
274,84
275,469
277,230
280,27
281,701
283,208
286,649
287,716
290,813
291,647
294,131
295,785
298,598
300,460
301,639
304,465
305,371
308,651
