
0,975.75
1,947.37
3,920.52
4,894.01
5,868.29
6,842.45
7,842.45
9,816.14
10,790.98
11,765.42
12,740.20
13,714.51
14,689.50
16,664.12
17,638.44
18,612.12
19,585.52
20,558.81
21,558.81
22,531.30
24,502.82
25,474.51
26,444.19
27,402.68
28,374.98
29,342.39
30,307.25
32,270.45
33,232.50
34,193.60
35,157.70
36,157.70
37,127.46
38,106.43
40,92.96
41,85.02
42,80.51
43,78.09
44,76.59
45,75.92
47,75.09
48,75.26
49,75.09
50,75.09
51,74.50
53,74.00
54,74.09
55,74.00
56,74.17
57,73.92
58,73.67
60,72.92
61,73.42
62,73.50
63,73.00
64,72.59
65,72.59
66,72.33
67,72.59
69,72.17
70,72.17
71,72.75
72,72.08
73,72.25
74,72.33
75,72.75
77,72.42
78,72.25
79,72.25
80,72.08
81,71.92
82,71.92
84,71.58
85,72.25
86,71.92
87,71.83
88,71.33
89,71.17
90,71.33
92,71.42
93,71.58
94,71.50
95,71.50
96,71.17
