
0,3.9
1,4.0
2,4.1
3,4.2
3,4.3
4,4.4
5,4.5
5,4.6
6,4.7
7,4.8
7,4.9
8,5.0
9,5.1
10,5.2
10,5.3
11,5.4
12,5.5
12,5.6
13,5.7
14,5.8
14,5.9
15,6.0
16,6.1
16,6.2
17,6.3
18,6.4
18,6.5
19,6.6
19,6.7
20,6.8
21,6.9
21,7.0
22,7.1
23,7.2
23,7.3
24,7.4
25,7.5
25,7.6
26,7.7
27,7.8
28,7.9
28,8.0
29,8.1
30,8.2
30,8.3
31,8.4
32,8.5
32,8.6
33,8.7
34,8.8
34,8.9
35,9.0
35,9.1
36,9.2
37,9.3
37,9.4
38,9.5
39,9.6
39,9.7
40,9.8
41,9.9
41,0.0
42,0.1
43,0.2
43,0.3
44,0.4
45,0.5
45,0.6
46,0.7
47,0.8
47,0.9
48,1.0
49,1.1
49,1.2
50,1.3
51,1.4
52,1.5
52,1.6
53,1.7
54,1.8
54,1.9
55,2.0
